id,kind,sp_mean,sp_std,sp_p50,sp_p90,sp_p99,hz_mean,vt_mean,idle_frac,rev_frac,turn_mean,turn_std,straight_w,y_mean,y_std,y_range,ext_x,ext_z,radius_mean,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11
car15,car,0.0919334,0.0221604,0.0840238,0.1,0.166709,0.0844132,0.0200596,0,0,0,0,0.99899,87.792,99.3848,240.375,1799.99,0,563.515,0.0000344899,0.000206939,0.000827757,0.90467,0.0189005,0.00013796,0.0745327,0.000206939,0.00013796,0.0000344899,0.0000344899,0.000275919
car16,car,0.0918219,0.0141648,0.087,0.103005,0.135591,0.0875466,0.0129891,0,0,0,0,0.999567,37.7387,63.1933,186.885,1799.91,0,450.917,0.0000344887,0.000241421,0.000724263,0.874082,0.0521814,0.0719434,0.000241421,0.000137955,0.0000689774,0.0000689774,0.0000344887,0.000241421
car17,car,0.0827785,0.00718514,0.081,0.0886397,0.097,0.0814484,0.0104035,0,0,0,0,0.999693,55.7085,49.9829,142.504,1799.92,0,712.059,0.0000344887,0.000241421,0.00106915,0.996965,0.000896706,0.0000689774,0.00027591,0.000103466,0.000103466,0.0000344887,0,0.000206932
car18,car,0.0903594,0.00782175,0.088459,0.0962549,0.106,0.0889026,0.0116612,0,0,0,0,0.999678,55.3797,50.4844,142.524,1799.91,0,706.439,0.0000344887,0.000241421,0.000758752,0.934265,0.0638731,0.0000689774,0.0000344887,0.000310398,0.000103466,0.0000344887,0.0000689774,0.000206932
car19,car,0.0548335,0.0122288,0.051,0.0593043,0.099985,0.0507476,0.0118057,0,0,0,0,0.999453,73.9724,92.2397,241.07,1799.95,0,536.389,0.000172444,0.232833,0.704052,0.0593551,0.00317296,0.000172444,0.0000344887,0,0.0000344887,0.0000344887,0,0.000137955
car20,car,0.0702997,0.00838355,0.067,0.0810247,0.0912414,0.0666573,0.0161863,0,0,0,0,0.999629,93.6118,80.6376,229.615,1799.93,0,628.198,0.0000689774,0.000482842,0.830212,0.16827,0.000206932,0.000310398,0.000137955,0.0000689774,0,0.0000344887,0.0000344887,0.000172444
car21,car,0.0651122,0.00612894,0.0640312,0.0662873,0.0806536,0.064545,0.00666729,0,0,0,0,0.99984,120.022,19.0704,75.91,1799.94,0,922.645,0.0000689774,0.000655285,0.935161,0.0633213,0.0000689774,0.000310398,0.000172444,0.0000344887,0,0,0.0000344887,0.000172444
car22,car,0.0695013,0.00604309,0.068469,0.0728011,0.0818841,0.0679305,0.01245,0,0,0,0,0.999779,135.251,46.4041,163.337,1799.93,0,729.961,0.0000689774,0.000551819,0.917158,0.0814278,0.0000689774,0.000310398,0.000103466,0.0000689774,0.0000344887,0,0.0000344887,0.000172444
car23,car,0.0520724,0.00484522,0.0510392,0.0559017,0.0626418,0.0509176,0.00863514,0,0,0,0,0.99986,76.0928,51.5438,155.202,1799.95,0,1039.43,0.000172444,0.105156,0.893878,0.0000689774,0.000344887,0.000137955,0.0000344887,0,0.0000344887,0.0000344887,0,0.000137955
car24,car,0.0522996,0.00465176,0.0510098,0.0563649,0.061131,0.0513902,0.0060865,0,0,0,0,0.999877,45.8208,52.1361,133.286,0,1799.94,685.999,0.000206932,0.0767029,0.922262,0.000103466,0.000344887,0.000103466,0.0000689774,0,0.0000344887,0.0000344887,0,0.000137955
